"IT_DATETIME","DS_CODE","Q","DS_LON","DS_LAT","SAT","DIFF"
"2012-02-04","356_H",99.537037037037,138333.907712423,429940.26083475,28.5456133476957,-70.9914236893413
"2012-02-05","269_H",89.8148148148148,164007.270525333,496615.361243678,24.370000481983,-65.4448143328318
"2012-02-06","249_H",94.6759259259259,127363.134926821,517331.718529087,25.4715030629752,-69.2044228629507
"2012-02-06","273_H",94.9074074074074,188816.779568466,523954.40147084,34.2262653528717,-60.6811420545357
"2012-02-07","249_H",88.0787037037037,127363.134926821,517331.718529087,26.0476293190154,-62.0310743846883
"2012-02-07","269_H",94.4444444444444,164007.270525333,496615.361243678,31.4746472504866,-62.9697971939579
"2012-02-10","249_H",108.449074074074,127363.134926821,517331.718529087,30.9060573333632,-77.5430167407108
"2012-02-10","269_H",114.699074074074,164007.270525333,496615.361243678,33.4237794935593,-81.2752945805148
"2012-02-10","273_H",106.481481481481,188816.779568466,523954.40147084,42.3263836304138,-64.1550978510677
"2012-02-10","356_H",124.421296296296,138333.907712423,429940.26083475,50.5713032230704,-73.8499930732259
"2012-02-11","249_H",104.513888888889,127363.134926821,517331.718529087,32.3702540203349,-72.143634868554
"2012-02-11","269_H",95.6018518518518,164007.270525333,496615.361243678,33.32001801471,-62.2818338371419
"2012-07-09","286_H",225.115740740741,272751.726353134,580083.325658519,159.235738598439,-65.8800021423021
"2012-07-11","310_H",272.337962962963,30461.9240748967,385117.837940359,197.951701119857,-74.3862618431064
"2012-07-11","323_H",232.638888888889,51814.452727588,394869.822515975,172.59416473492,-60.0447241539685
"2013-03-12","319_H",146.527777777778,48398.2276413979,360597.580586119,61.4214039462715,-85.1063738315062
"2013-03-13","377_H",146.527777777778,181233.068667045,356430.069475497,68.8275471742527,-77.7002306035251
"2013-03-13","380_H",153.703703703704,181360.456101489,324013.221646563,75.8146059791826,-77.8890977245211
"2014-06-01","260_H",315.509259259259,140783.296337002,456758.217135819,248.452538193301,-67.0567210659584
"2015-07-31","330_H",306.134259259259,68078.9378130265,445503.769950935,245.446957411063,-60.6873018481964
"2016-01-18","286_H",75.3472222222222,272751.726353134,580083.325658519,10.6449225610327,-64.7022996611895
"2016-06-26","273_H",249.884259259259,188816.779568466,523954.40147084,181.50441873639,-68.3798405228695
